Unnamed: 0,zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random,Listing_Count_old
14355,76384,46900.0,26.0,&rd=20&zc=76384,500.0,5,0.9646826380337338,526
14356,60173,16980.0,3.0,&rd=2&zc=60173&clrId=27127,789.0,8,0.9647825271719912,1087
14357,55382,41060.0,13.0,&rd=10&zc=55382,153.0,2,0.964919671177376,220
14358,2420,14460.0,3.0,&rd=2&zc=02420,0.0,0,0.964967690022102,528
14359,29662,24860.0,2.0,&rd=2&zc=29662,44.0,1,0.9650701309788596,44
14360,32808,36740.0,3.0,&rd=2&zc=32808,41.0,1,0.9652283808207534,2634
14361,48036,19820.0,4.0,&rd=3&zc=48036&clrId=27134,793.0,8,0.9652327110021126,1197
14362,40004,12680.0,13.0,&rd=10&zc=40004,267.0,3,0.9652572796591766,214
14363,2186,14460.0,4.0,&rd=3&zc=02186,65.0,1,0.9652663460278428,127
14364,54455,48140.0,15.0,&rd=11&zc=54455,359.0,4,0.9653014581668204,1244
14365,32511,37860.0,0.284090909,&rd=1&zc=32511,12.0,1,0.9653200983939136,12
14366,50258,99999.0,8.0,&rd=6&zc=50258,22.0,1,0.9654855588437388,22
14367,43035,18140.0,5.0,&rd=4&zc=43035,102.0,2,0.9654863722215944,453
14368,37820,34100.0,9.0,&rd=7&zc=37820,170.0,2,0.9655238944196708,186
14369,62656,30660.0,11.0,&rd=8&zc=62656,227.0,3,0.9655469785223042,234
14370,76903,41660.0,5.0,&rd=4&zc=76903,818.0,9,0.9656379337395836,1045
14371,42240,17300.0,17.0,&rd=13&zc=42240,827.0,9,0.9656531361454722,791
14372,18936,37980.0,1.0,&rd=1&zc=18936,269.0,3,0.965787206754126,247
14373,30041,12060.0,11.0,&rd=8&zc=30041&clrId=27127,610.0,7,0.9659573049609244,1330
14374,39332,99999.0,10.0,&rd=8&zc=39332,14.0,1,0.9660186859878294,14
14375,92373,40140.0,7.0,&rd=5&zc=92373,1386.0,5,0.9661058706057848,1716
14376,89027,29820.0,36.0,&rd=27&zc=89027,0.0,0,0.9661154783009492,1645
14377,8731,35620.0,8.0,&rd=6&zc=08731,1.0,1,0.9661522350889624,1568
14378,72135,30780.0,11.0,&rd=8&zc=72135,3.0,1,0.9662500745758194,3
14379,98276,13380.0,9.0,&rd=7&zc=98276,79.0,1,0.9662872438967541,79
14380,4944,99999.0,9.0,&rd=7&zc=04944,2.0,1,0.966318912238118,2
14381,70535,36660.0,11.0,&rd=8&zc=70535,89.0,1,0.9663766007198672,89
14382,7755,35620.0,2.0,&rd=2&zc=07755,451.0,5,0.966388878826295,521
14383,15633,38300.0,0.170454545,&rd=1&zc=15633,9.0,1,0.9664330255216568,9
14384,28690,25860.0,4.0,&rd=3&zc=28690,218.0,3,0.966583822732892,212
14385,98903,49420.0,25.0,&rd=19&zc=98903,,15,0.9666121154783992,1464
14386,59934,99999.0,33.0,&rd=25&zc=59934,0.0,0,0.9666251892417592,357
14387,68046,36540.0,5.0,&rd=4&zc=68046,0.0,0,0.9666312028774632,1447
14388,1590,49340.0,5.0,&rd=4&zc=01590,0.0,0,0.9667114459153734,854
14389,17083,30140.0,8.0,&rd=6&zc=17083,816.0,9,0.9667458849067352,1104
