zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random
98811,48300.0,29.0,&rd=29&zc=98811,521,6,0.011430334932973407
15238,38300.0,5.0,&rd=5&zc=15238,132,2,0.011648509764590642
78962,99999.0,12.0,&rd=12&zc=78962,210,3,0.011717759433737984
54819,99999.0,17.0,&rd=17&zc=54819,55,1,0.011728007106272531
44402,49660.0,6.0,&rd=6&zc=44402,110,2,0.011813721462233695
32046,27260.0,12.0,&rd=12&zc=32046,3,1,0.011902611660241091
5657,99999.0,10.0,&rd=10&zc=05657,447,5,0.012051708552257456
94132,41860.0,2.0,&rd=2&zc=94132,86,1,0.012180881502267149
16255,99999.0,7.0,&rd=7&zc=16255,52,1,0.012255781785386666
99212,44060.0,5.0,&rd=5&zc=99212,2397,24,0.012708939368549999
76051,19100.0,5.0,&rd=5&zc=76051&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,675,7,0.012753884114488634
45011,17140.0,10.0,&rd=10&zc=45011&clrId=27134,1020,11,0.012755544465459012
90247,31080.0,2.0,&rd=2&zc=90247,775,8,0.012822170976951153
58563,13900.0,31.0,&rd=31&zc=58563,913,10,0.012847395506091153
32224,27260.0,4.0,&rd=4&zc=32224,1825,19,0.012907603327300454
14072,15380.0,5.0,&rd=5&zc=14072,701,8,0.012959302610786705
39110,27140.0,7.0,&rd=7&zc=39110,1256,13,0.012962710102251807
46765,23060.0,4.0,&rd=4&zc=46765,7,1,0.012981724181044263
30349,12060.0,9.0,&rd=9&zc=30349,4508,46,0.013063453202013742
56144,99999.0,11.0,&rd=11&zc=56144,150,2,0.013101929604195428
78226,41700.0,2.0,&rd=2&zc=78226,37,1,0.013120368143471173
48137,19820.0,8.0,&rd=8&zc=48137,219,3,0.01330648467813833
3813,99999.0,18.0,&rd=18&zc=03813,175,2,0.013399549517429166
30012,12060.0,6.0,&rd=6&zc=30012,1358,14,0.013542529294064298
18960,37980.0,5.0,&rd=5&zc=18960,938,10,0.013543857682005056
2493,14460.0,4.0,&rd=4&zc=02493,79,1,0.013616771526487437
51640,99999.0,14.0,&rd=14&zc=51640,221,3,0.013618974960754482
90602,31080.0,2.0,&rd=2&zc=90602,96,1,0.013635781612292841
95469,46380.0,16.0,&rd=16&zc=95469,30,1,0.013692367045760045
20878,47900.0,4.0,&rd=4&zc=20878&clrId=27133,645,7,0.013719352198927282
27555,39580.0,9.0,&rd=9&zc=27555,253,3,0.013745103589855368
85363,38060.0,2.0,&rd=2&zc=85363,7,1,0.013803797268173601
77615,99999.0,14.0,&rd=14&zc=77615,861,9,0.014072121800561388
98684,38900.0,3.0,&rd=3&zc=98684,86,1,0.014082881605776087
83285,26820.0,36.0,&rd=36&zc=83285,81,1,0.01413412880374898
92231,20940.0,11.0,&rd=11&zc=92231,567,6,0.014271023476888578
56441,14660.0,12.0,&rd=12&zc=56441,190,2,0.014281639279166702
49534,24340.0,6.0,&rd=6&zc=49534,404,5,0.014329610434758111
24502,31340.0,6.0,&rd=6&zc=24502,157,2,0.014347903840008613
14572,18500.0,11.0,&rd=11&zc=14572,31,1,0.014394888455381949
54519,99999.0,11.0,&rd=11&zc=54519,241,3,0.014778108383324051
42440,31580.0,12.0,&rd=12&zc=42440,325,4,0.014845599697753453
49464,24340.0,11.0,&rd=11&zc=49464,896,9,0.014898354583833706
47229,42980.0,9.0,&rd=9&zc=47229,216,3,0.014915032954786245
49770,99999.0,13.0,&rd=13&zc=49770,45,1,0.014961360600822982
77433,26420.0,7.0,&rd=7&zc=77433,117,2,0.014985357287538137
49306,24340.0,6.0,&rd=6&zc=49306,2080,21,0.015057366477018053
95673,40900.0,5.0,&rd=5&zc=95673,1270,13,0.015089173749494922
17844,30260.0,9.0,&rd=9&zc=17844,522,6,0.01539670383315117
21801,41540.0,7.0,&rd=7&zc=21801,945,10,0.015399327266730545
48189,11460.0,7.0,&rd=7&zc=48189,153,2,0.015737667551091405
58402,27420.0,22.0,&rd=22&zc=58402,13,1,0.015753884628904702
52767,19340.0,5.0,&rd=5&zc=52767,3699,37,0.0158471082946664
7825,10900.0,9.0,&rd=9&zc=07825,10,1,0.01585730105715666
32535,37860.0,11.0,&rd=11&zc=32535,114,2,0.015863211850789094
50133,99999.0,10.0,&rd=10&zc=50133,27,1,0.015944554355532548
95423,17340.0,18.0,&rd=18&zc=95423,166,2,0.016203199558706083
49007,28020.0,2.0,&rd=2&zc=49007,23,1,0.016210441762827488
88256,16100.0,18.0,&rd=18&zc=88256,93,1,0.01651075073328856
15552,43740.0,13.0,&rd=13&zc=15552,143,2,0.01660623656005289
25075,16620.0,10.0,&rd=10&zc=25075,96,1,0.0167112180488993
43844,18740.0,10.0,&rd=10&zc=43844,94,1,0.016842964775872327
80249,19740.0,7.0,&rd=7&zc=80249,234,3,0.016903451966800986
4261,99999.0,18.0,&rd=18&zc=04261,559,6,0.016904675101251043
27215,15500.0,8.0,&rd=8&zc=27215,1251,13,0.0169069703024739
17972,39060.0,8.0,&rd=8&zc=17972,591,6,0.017006210109125952
43044,46500.0,8.0,&rd=8&zc=43044,444,5,0.017031995420393353
55912,12380.0,15.0,&rd=15&zc=55912,181,2,0.017094288386140577
85041,38060.0,4.0,&rd=4&zc=85041,299,3,0.017235480114396462
27217,15500.0,11.0,&rd=11&zc=27217,1251,13,0.017237149518811834
76063,19100.0,6.0,&rd=6&zc=76063,91,1,0.017291509456751286
45884,47540.0,14.0,&rd=14&zc=45884,80,1,0.017463941060815613
96707,46520.0,5.0,&rd=5&zc=96707,200,2,0.01749302370470107
32693,23540.0,11.0,&rd=11&zc=32693,185,2,0.01760747918517991
38824,46180.0,12.0,&rd=12&zc=38824,10,1,0.01760986383789509
53139,39540.0,6.0,&rd=6&zc=53139,96,1,0.017638146168104663
38117,32820.0,3.0,&rd=3&zc=38117,847,9,0.017663291595968134
95435,17340.0,13.0,&rd=13&zc=95435,166,2,0.01775807073095681
32305,45220.0,13.0,&rd=13&zc=32305,1356,14,0.017794536299228114
86334,39150.0,31.0,&rd=31&zc=86334,1414,15,0.017894436139712644
30707,16860.0,14.0,&rd=14&zc=30707,556,6,0.017942522759068935
7057,35620.0,1.0,&rd=1&zc=07057,1050,11,0.018002420803889585
14467,40380.0,4.0,&rd=4&zc=14467,3196,32,0.018058407720411673
83706,14260.0,4.0,&rd=4&zc=83706,1050,11,0.018103182662073114
38127,32820.0,7.0,&rd=7&zc=38127,2272,23,0.018113592440076265
40873,99999.0,6.0,&rd=6&zc=40873,3,1,0.018180276606197476
35634,22520.0,8.0,&rd=8&zc=35634,548,6,0.018236426244372272
38122,32820.0,3.0,&rd=3&zc=38122,2126,22,0.0182406330723901
54410,49220.0,9.0,&rd=9&zc=54410,27,1,0.01828742391439464
11788,35620.0,4.0,&rd=4&zc=11788,1176,12,0.018370322375429127
43302,32020.0,13.0,&rd=13&zc=43302,884,9,0.018489765709002515
21078,12580.0,6.0,&rd=6&zc=21078,425,5,0.01862992373624628
58327,99999.0,19.0,&rd=19&zc=58327,412,5,0.018728359431872676
92808,31080.0,4.0,&rd=4&zc=92808,1061,11,0.018765397524572403
80102,19740.0,26.0,&rd=26&zc=80102&clrId=27124,761,8,0.018891252585627738
6897,14860.0,5.0,&rd=5&zc=06897,381,4,0.018954759255502607
89166,29820.0,45.0,&rd=45&zc=89166&clrId=27123,3030,31,0.019122665429257113
93010,37100.0,4.0,&rd=4&zc=93010,124,2,0.019222804216920464
55112,33460.0,5.0,&rd=5&zc=55112,1454,15,0.01926382102358215
98148,42660.0,2.0,&rd=2&zc=98148,1272,13,0.019306471214551313
