search_id,zipcode,URL_end,Page,Result
502,64014,&page=6&rd=3&zc=64014,6,
503,64014,&page=4&rd=3&zc=64014,4,
504,64014,&page=2&rd=3&zc=64014,2,
505,57701,&page=3&rd=8&zc=57701,3,
506,57701,&page=1&rd=8&zc=57701,1,
507,57701,&page=4&rd=8&zc=57701,4,
508,57701,&page=2&rd=8&zc=57701,2,
509,45247,&page=1&rd=3&zc=45247,1,
510,45247,&page=4&rd=3&zc=45247,4,
511,45247,&page=2&rd=3&zc=45247,2,
512,45247,&page=5&rd=3&zc=45247,5,
513,45247,&page=3&rd=3&zc=45247,3,
514,3216,&page=1&rd=5&zc=03216,1,
515,16046,&page=3&rd=4&zc=16046,3,
516,16046,&page=2&rd=4&zc=16046,2,
517,16046,&page=4&rd=4&zc=16046,4,
518,16046,&page=1&rd=4&zc=16046,1,
519,60585,&page=1&rd=3&zc=60585,1,
520,85256,&page=5&rd=6&zc=85256&clrId=27124,5,
521,85256,&page=1&rd=6&zc=85256&clrId=27124,1,
522,85256,&page=2&rd=6&zc=85256&clrId=27124,2,
523,85256,&page=4&rd=6&zc=85256&clrId=27124,4,
524,85256,&page=3&rd=6&zc=85256&clrId=27124,3,
525,11516,&page=1&rd=1&zc=11516,1,
526,11516,&page=2&rd=1&zc=11516,2,
527,11516,&page=3&rd=1&zc=11516,3,
528,11516,&page=9&rd=1&zc=11516,9,
529,11516,&page=7&rd=1&zc=11516,7,
530,11516,&page=4&rd=1&zc=11516,4,
531,11516,&page=8&rd=1&zc=11516,8,
532,11516,&page=5&rd=1&zc=11516,5,
533,11516,&page=6&rd=1&zc=11516,6,
534,13365,&page=1&rd=14&zc=13365,1,
535,92203,&page=3&rd=6&zc=92203,3,
536,92203,&page=1&rd=6&zc=92203,1,
537,92203,&page=5&rd=6&zc=92203,5,
538,92203,&page=4&rd=6&zc=92203,4,
539,92203,&page=2&rd=6&zc=92203,2,
540,92203,&page=6&rd=6&zc=92203,6,
541,13501,&page=1&rd=3&zc=13501,1,
542,75462,&page=5&rd=16&zc=75462,5,
543,75462,&page=1&rd=16&zc=75462,1,
544,75462,&page=3&rd=16&zc=75462,3,
545,75462,&page=2&rd=16&zc=75462,2,
546,75462,&page=4&rd=16&zc=75462,4,
547,98811,&page=1&rd=22&zc=98811,1,
548,98811,&page=2&rd=22&zc=98811,2,
549,15238,&page=1&rd=4&zc=15238,1,
550,78962,&page=2&rd=9&zc=78962,2,
551,78962,&page=1&rd=9&zc=78962,1,
552,78962,&page=3&rd=9&zc=78962,3,
553,54819,&page=1&rd=13&zc=54819,1,
554,32046,&page=1&rd=9&zc=32046,1,
555,5657,&page=4&rd=8&zc=05657,4,
556,5657,&page=5&rd=8&zc=05657,5,
